symbol,name,sector,segment
JSWENERGY,JSW Energy,Power,NEXT50
JINDALSTEL,Jindal Steel & Power,Metals,NEXT50
LICI,Life Insurance Corp,Financials,NEXT50
LODHA,Macrotech Developers,Realty,NEXT50
LTIM,LTIMindtree,IT,NEXT50
MOTHERSON,Samvardhana Motherson,Auto,NEXT50
MARICO,Marico,FMCG,NEXT50
MAXHEALTH,Max Healthcare,Healthcare,NEXT50
MUTHOOTFIN,Muthoot Finance,Financials,NEXT50
PIDILITIND,Pidilite Industries,Chemicals,NEXT50
PFC,Power Finance Corporation,Financials,NEXT50
PNB,Punjab National Bank,Financials,NEXT50
POLYCAB,Polycab India,CapitalGoods,NEXT50
RECLTD,REC,Financials,NEXT50
SIEMENS,Siemens India,CapitalGoods,NEXT50
SOLARINDS,Solar Industries,Chemicals,NEXT50
SWIGGY,Swiggy,Consumer,NEXT50
TATAPOWER,Tata Power,Power,NEXT50
TORNTPHARM,Torrent Pharmaceuticals,Pharma,NEXT50
TVSMOTOR,TVS Motor Company,Auto,NEXT50
UNITDSPR,United Spirits,FMCG,NEXT50
VBL,Varun Beverages,FMCG,NEXT50
VEDL,Vedanta,Metals,NEXT50
ZYDUSLIFE,Zydus Lifesciences,Pharma,NEXT50
